ISBN,Title,FirstDate,LastDate
147675666X,WE ARE NOT OURSELVES,9/7/2014,10/5/2014
145162803X,A WINTER DREAM,11/18/2012,12/2/2012
1416563814,FATAL ERROR,2/20/2011,3/6/2011
1476749116,THE MELODY LINGERS ON,7/12/2015,8/2/2015
145551604X,CROSS ROADS,12/2/2012,2/17/2013
140006788X,NIGHT FILM,9/8/2013,9/22/2013
039915566X,THE HONOR OF SPIES,1/17/2010,2/7/2010
1455525928,CRIMSON SHORE,11/29/2015,12/6/2015
1439165394,HER FEARFUL SYMMETRY,10/18/2009,1/17/2010
1401324819,RAGING HEAT,10/5/2014,10/12/2014
1250065933,BEACH TOWN,6/7/2015,6/28/2015
006227645X,DESERT GOD,11/9/2014,Not Found
1594204233,BLEEDING EDGE,10/6/2013,10/13/2013
1594487367,THIS IS HOW YOU LOSE HER,9/30/2012,11/11/2012
1400069491,MIDNIGHT IN EUROPE,6/22/2014,7/20/2014
1416585834,DOG ON IT,3/8/2009,3/15/2009
1416545182,MIDNIGHT,11/23/2008,2/8/2009
145161781X,WHO DO YOU LOVE,8/30/2015,9/20/2015
1501108557,ALL DRESSED IN WHITE,12/6/2015,12/27/2015
039917124X,THE ASSASSINATION OPTION,1/18/2015,Not Found
1594634475,FATES AND FURIES,10/4/2015,3/20/2016
030791156X,THE WOMAN WHO WALKED IN SUNSHINE,11/15/2015,Not Found
1439156336,THE BURNING WIRE,6/20/2010,6/27/2010
031253955X,ONLY TIME WILL TELL,9/18/2011,10/2/2011
1455501514,DEADLINE,10/13/2013,10/20/2013
1400064945,HOMER & LANGLEY,9/20/2009,10/11/2009
052595130X,DEEPER THAN THE DEAD,1/17/2010,2/14/2010
1414319703,DAMASCUS COUNTDOWN,3/24/2013,4/14/2013
1594633118,THE PAYING GUESTS,10/5/2014,11/2/2014
1476790221,THE ACCIDENTAL EMPRESS,3/8/2015,3/15/2015
1416549978,THE BROKEN WINDOW,6/29/2008,7/27/2008
1250027659,ACCUSED,11/17/2013,11/24/2013
1620401398,THE BONE SEASON,9/8/2013,9/22/2013
039917351X,DEEP BLUE,4/3/2016,4/10/2016
1439165319,A DEEPER LOVE INSIDE,2/17/2013,3/31/2013
006211946X,RAYLAN,2/5/2012,3/11/2012
055380801X,FRANKENSTEIN: LOST SOULS,7/4/2010,7/18/2010
1416586288,HALF BROKE HORSES,10/25/2009,2/14/2010
039916149X,THE PROMISE,11/29/2015,12/6/2015
1476789630,LUCKIEST GIRL ALIVE,5/31/2015,9/20/2015
080211928X,MATTERHORN,4/11/2010,6/27/2010
044101769X,FIRST LORD&#39;S FURY,12/13/2009,Not Found
1439102457,BONES OF THE LOST,9/15/2013,9/22/2013
1455536342,THE STEEL KISS,3/27/2016,4/10/2016
1401324029,NAKED HEAT,10/17/2010,11/14/2010
031238078X,SAVE ME,5/1/2011,5/22/2011
1617732168,WEDDING CAKE MURDER,3/13/2016,3/20/2016
1451640218,SNIPER&#39;S HONOR,6/8/2014,6/15/2014
1451647034,THE CHANCE,3/24/2013,4/14/2013
1416550038,GRACE,10/26/2008,11/2/2008
1451626118,THE KING&#39;S CURSE,9/28/2014,10/5/2014
006199104X,THE BLOOD GOSPEL,1/27/2013,2/3/2013
