,ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
4574,451463528,Roc Hardcover,,,The High King of Montival,340.12267196424136,,0.0,230.28571430000002,2010.0,1,455,0,0,1,0,0,S. M. Stirling,1679,5
4575,385532350,Doubleday,,,Dexter Is Delicious,340.12267196424136,,0.0,245.0,2010.0,1,1337,0,0,38,0,0,Jeff Lindsay,1080,2
4576,044654759X,Grand Central Publishing,,,Safe Haven,340.12267196424136,,0.0,130.8947368,2010.0,1,311,0,0,17,0,0,Nicholas Sparks,249,6
4577,312652917,St. Martin's Press,,,Wicked Appetite,340.12267196424136,,0.0,273.22222220000003,2010.0,1,1442,0,0,69,0,0,Janet Evanovich,624,16
4578,006185929X,William Morrow,,,Warlord,340.12267196424136,,0.0,129.0,2010.0,1,1614,0,0,65,0,0,Ted Bell,953,3
4579,316098337,"Little, Brown and Co.",823/.914,PR6054.O547 R66 2010,Room,321.0,New York,1.0,146.8823529,2010.0,1,1407,270,324,31,729,89,Emma Donoghue,1694,2
4580,1414334095,Tyndale House Publishers,,,Her Daughter's Dream,340.12267196424136,,0.0,325.6,2010.0,1,309,0,0,3,0,0,Francine Rivers,2059,2
4581,312593317,St. Martin's Press,,,A Secret Kept,340.12267196424136,,0.0,128.0,2010.0,1,1442,0,0,69,0,0,Tatiana de Rosnay,525,2
4582,399156909,G.P. Putnam's Sons,,,Bad Blood,340.12267196424136,,0.0,283.375,2010.0,1,885,0,0,74,0,0,John Sandford,1262,15
4583,385342047,Dial Press,,,Mini-Shopaholic,340.12267196424136,,0.0,255.8571429,2010.0,1,1286,0,0,5,0,0,Sophie Kinsella,1023,4
4584,61558222,William Morrow,813/.6,PS3620.O5875 F35 2010,The fall,340.12267196424136,New York,0.0,593.0,2010.0,1,1614,270,287,65,729,205,,0,0
4585,399156917,G.P. Putnams Sons,,,Santa Fe Edge,340.12267196424136,,0.0,229.5714286,2010.0,1,1693,0,0,5,0,0,Stuart Woods,565,20
4586,61782424,HarperOne,,,Muhammad: A Story of the Last Prophet,340.12267196424136,,0.0,129.0,2010.0,1,1238,0,0,1,0,0,Deepak Chopra,1208,1
4587,525951652,Dutton,823/.914,PR6056.O45 F35 2010,Fall of giants,340.12267196424136,New York,0.0,288.8,2010.0,1,793,270,324,34,729,89,Ken Follett,1881,3
4588,316036234,"Little, Brown and Co.",813/.54,PS3566.A822 D66 2010,Don't Blink,376.0,New York,38.0,235.66666669999998,2010.0,1,1407,270,345,31,729,667,James Patterson,1772,44
4589,316038393,"Little, Brown and Company",,,Squirrel Seeks Chipmunk,176.0,,0.0,64.25,2010.0,1,863,0,0,17,0,0,David Sedaris,1114,1
4590,1401324029,Hyperion,,,Naked Heat,240.0,"New York, USA",0.0,127.5,2010.0,1,1143,367,0,10,51,0,Richard Castle,1985,3
4591,385343132,Delacorte Press,813/.54,PS3569.T33828 L44 2010,Legacy,326.0,New York,7.0,161.05882350000002,2010.0,1,930,270,345,42,729,667,Danielle Steel,1369,22
4592,778328198,Mira Books,,,Call Me Mrs. Miracle,340.12267196424136,,0.0,402.0,2010.0,1,1401,0,0,2,0,0,Debbie Macomber,345,15
4593,006196963X,HarperCollins Publishers,,,The Fort,340.12267196424136,,0.0,0.0,2010.0,1,1449,0,0,5,0,0,Bernard Cornwell,1078,7
4594,765324121,Tor,,,Out of the Dark,340.12267196424136,,0.0,0.0,2010.0,1,1141,0,0,16,0,0,David Weber,635,13
4595,316069485,"Little, Brown",,,The Reversal,340.12267196424136,,0.0,219.5555556,2010.0,1,300,0,0,5,0,0,Michael Connelly,1264,10
4596,399156852,G.P. Putnams Sons,,,Painted Ladies,340.12267196424136,,0.0,242.4,2010.0,1,1693,0,0,5,0,0,Robert B. Parker,1817,10
4597,1439150036,Simon & Schuster,,,Promise Me,340.12267196424136,,0.0,167.0,2010.0,1,470,0,0,62,0,0,Richard J. Evans,1873,11
4598,786955007,Wizards of the Coast,,,Gauntlgrym,340.12267196424136,,0.0,0.0,2010.0,1,1265,0,0,8,0,0,R. A. Salvatore,48,8
4599,399156755,G.P. Putnams Sons,,,A Valcourt Heiress,340.12267196424136,,0.0,127.5,2010.0,1,1693,0,0,5,0,0,Catherine Coulter,2166,10
4600,141659518X,Pocket Books,,,American Assassin,340.12267196424136,,0.0,206.5,2010.0,1,1379,0,0,5,0,0,Vince Flynn,1232,5
4601,670022241,Viking,,,Our Kind of Traitor,340.12267196424136,,0.0,160.4545455,2010.0,1,63,0,0,25,0,0,John le Carré,2048,3
4602,547318359,Houghton Mifflin Harcourt,,,Nemesis,340.12267196424136,,0.0,434.5,2010.0,1,1137,0,0,5,0,0,Philip Roth,846,2
4603,385344317,Delacorte Press,,,Worth Dying For,340.12267196424136,,0.0,206.5,2010.0,1,930,0,0,42,0,0,Lee Child,662,8
4604,670022128,Viking,,,In the Company of Others,340.12267196424136,,0.0,167.0,2010.0,1,63,0,0,25,0,0,Jan Karon,440,2
