nyt:mass_market_paperback=2011-11-19,2
nyt:e-book_fiction=2011-04-02,2
nyt:trade_fiction_paperback=2012-02-11,2
Women drug addicts,2
Vigilantes,2
Soldiers of fortune,2
"Stackhouse, Sookie (Fictitious character)",2
Women's Murder Club (Imaginary organization),2
Patrick McLanahan (Fictitious character),2
Military Air pilots,2
Loyalty,2
Nuclear weapons,2
Espionage,2
United States marshals,2
Summer,2
Memory disorders,2
Murderers,2
Camps,2
nyt:e-book_fiction=2011-11-12,2
nyt:hardcover_fiction=2011-08-20,2
Ojibwa Indians,2
psychological fiction,2
nyt:hardcover_fiction=2011-12-24,2
Military police,2
Financial crises,2
nyt:hardcover_fiction=2011-10-01,2
Dead,2
nyt:combined_print_fiction=2011-10-29,2
Conspiracy,2
Nuclear terrorism,2
Cold cases,2
FICTION / Romance / Suspense,2
nyt:combined_print_fiction=2012-01-14,2
nyt:hardcover_fiction=2012-02-25,2
FICTION / Fantasy / General,2
FICTION / Romance / Fantasy,2
D. D. Warren (Fictitious character),2
Duncan Kincaid (Fictitious character),2
"James, Gemma (Fictitious character : Crombie)",2
Businessmen,2
City planning,2
Kate Shugak (Fictitious character),2
Jazz musicians,2
Islands,2
FICTION / Espionage,2
FICTION / Fantasy / Historical,2
Stepdaughters,2
Photographers,2
Women motion picture producers and directors,2
Italian Americans,2
Women dressmakers,2
Thomas Pitt (Fictitious character),2
Charlotte Pitt (Fictitious character),2
Social isolation,2
Children of the rich,2
Spouses of clergy,2
Police corruption,2
Walt Longmire (Fictitious character),2
Indian reservations,2
Amnesia,2
Obsessive-compulsive disorder,2
Fans (Persons),2
Immortality,2
Accidents,2
Brides,2
Blind,2
Space and time,2
Men,2
Historischer Roman,2
Biologists,2
Strangers,2
Actors and actresses,2
Brigands and robbers,2
Spree murderers,2
Kurzgeschichte,2
Emigration and immigration,2
"Iraq War, 2003-2011",2
Iraq War (2003-2011) fast (OCoLC)fst01802311,2
Generosity,2
Alliances,2
Women spies,2
"Plum, Stephanie (Fictitious character)",2
Environmental policy,2
Westerns,2
Love,2
Middle-aged women,2
Empty nesters,2
Knitting shops,2
NEW LIST 20130531,2
Gifted persons,2
Enquêtes,2
Women artists,2
FICTION / Legal,2
Historischer Kriminalroman,2
Romantic suspense novels,2
"Parodies, imitations",2
Lyrik,2
Jack Reacher (Fictional character),2
POETRY / American / General,2
Juvenile fiction,2
American poetry,2
Rosato & Associates (Imaginary organization),2
Single fathers,2
Miracles,2
Legal,2
Prisoners,2
Romance fiction,2
Science-Fiction,2
Best friends,2
FICTION / Short Stories (single author),2
Auschwitz (Concentration camp),2
Jewish women,2
Jewish,2
New York (N.Y.).,2
New York (N.Y.). Police Department,2
Women in war,2
Mystery Fiction,2
Coming of age,2
Love-letters,2
Christian,2
Guardian angels,2
Women pathologists,2
Television programs,2
Post-traumatic stress disorder,2
Socialites,2
Horror tales,1
Biological invasions,1
Spirit possession,1
Sexual intercourse,1
World records,1
Snuff films,1
Intelligence service  in fiction,1
International relations in fiction,1
Defense industries  in fiction,1
Defense industries,1
Psychological aspects of Bereavement,1
Bengali Americans in fiction,1
Bengali (South Asian people),1
Bengali Americans,1
Bengali Americans -- Fiction,1
Bengali (South Asian people) -- United States -- Fiction,1
Automobile racing drivers,1
nyt:trade_fiction_paperback=2009-06-06,1
award:pen_faulkner_award=fiction,1
PEN/Faulkner Award Winner,1
award:pen_faulkner_award=2009,1
Environmental aspects,1
Chemical industry,1
Trials (Offenses against the environment),1
Waste disposal,1
Chemical industry -- Fiction,1
"Wall Street (New York, N.Y.)",1
Chemical industry -- Waste disposal -- Environmental aspects -- Fiction,1
Trials (Offenses against the environment) -- Fiction,1
Corporations -- Corrupt practices -- Fiction,1
Mississippi -- Fiction,1
"Wall Street (New York, N.Y.) -- Fiction",1
Indiana Jones (Fictitious character),1
Collectors and collecting,1
Mogul Empire in fiction,1
Women in fiction,1
"Machiavelli, Niccolò, in fiction",1
East and West in fiction,1
"Akbar, in fiction",1
Conspiracies in fiction,1
