date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009-08-23,1429983760,0375414967,0399155341,0307269981,1594202249,0743294297,0399155864,0399155686,0316018775,0441017150,0385524072,0385342020,0399155872,0312383282,0765322722,0316068047,1400067111,0061239224,0786949163,0345501578
2009-08-30,038541305X,1416563083,0399155341,0375414967,0307269981,1401394530,0743294297,0316018775,1101081449,0399155686,1594202249,1429983760,0441017150,0061702323,0399155708,0385524072,0399155864,0385342020,0316068047,0312383282
2009-09-06,038541305X,1416563687,0440338789,0399155341,0375414967,0307269981,0345509188,1416563083,1401394530,0399156046,0743294297,0441017150,0312946517,0316018775,0345516770,1101081449,0399155686,1594202249,1429983760,0061702323
2009-09-13,0446557788,038541305X,0399155341,1416525677,1416563687,0307269981,0375414967,1401394530,0399155910,0441017150,1416563083,0440338789,0451462904,0345509188,0743294297,0525950575,1594202249,0316018775,0312946517,0399156046
2009-09-20,0425229734,0446557788,038541305X,0399156429,0399155341,1416563687,1400064945,1416525677,0307269981,0375409289,1401394530,0441017150,0375414967,0805087737,1416563083,0312368488,0399155910,0440338789,0316068047,1595542884
2009-09-27,0446547565,038541305X,0399155341,0446557788,0399156429,0425229734,1416563687,0385518366,0307269981,0441017150,0375409289,1416525677,1400064945,1401394530,0375414967,0385514301,0316068047,0805087737,0743299841,0399155910
2009-10-04,0385504225,0446547565,0399155341,0446557788,038541305X,0399156429,1416563687,0441017150,0307269981,0375409289,0425229734,1416525677,1401394530,1400064945,0375414967,0385518366,0316068047,0743299841,1429962925,0805087737
2009-10-11,0385504225,0385342454,0446547565,0399155341,0399156011,038541305X,0446557788,0385528779,0399155937,0399156429,0316071741,0441017150,0375425144,0307269981,1439158908,0679403930,1416563687,1400064945,0312377037,0375409289
2009-10-18,0385504225,0385342454,0399155988,0446547565,0399155341,1439165394,1459215153,038541305X,0446557788,0399156011,1594488878,0553907049,0441017150,0399156429,0385528779,0307269981,0316071741,0778326896,0758210248,1416563687
2009-10-25,0385504225,0441017835,0399155341,0399155945,0446547565,0345518149,1416586288,0385342454,0399155988,1439165394,0786952334,1439150001,0061161705,038541305X,0441017150,0446557788,1459215153,0399156011,1594488878,0307269981
2009-11-01,0385504225,1416595163,0316166316,0399155341,0446547565,0441017835,1416586288,0399155988,0385342454,0399155945,1401310400,0345518149,0345509625,1439165394,0805080686,1439159661,0786952334,038541305X,0441017150,1401323588
2009-11-08,0385504225,0399156399,1416595163,0316166316,0399155341,1401310400,0805080686,0385340281,1416586288,0446547565,0312368127,0441017835,0312591063,0385342454,0399155988,0399155945,0345518149,1439165394,0786952334,0345509625
2009-11-15,0765302306,0385504225,0446195510,1400063841,1416595163,0399156399,0399155341,0316166316,0425230155,0805080686,0446547565,1416586288,1400043530,0385340281,0441017835,0312591063,1401310400,0385342454,0312368127,0399155945
2009-11-22,0385532458,0385504225,0399155953,0765302306,0060852577,0446195510,0399155341,1416595163,0399156399,1400063841,0345497929,0316166316,0805080686,0446547565,1401310400,1416586288,1439172773,0385340281,0441017835,0399156380
2009-11-29,1439148503,0385504225,0385532458,0399155341,0060852577,0765302306,0446195510,0345517199,0399155953,1416595163,1401310400,0399156399,0446547565,0385521383,0316166316,1416586288,0805080686,0345497929,1400063841,006194100X
